Codigo de Cliente,Tipo de Transaccion,Codigo de Transaccion,Monto,Fecha de Documento,Libro Mayor,Fecha de Pago
0000505063,RV,0147029193,32.35,2020-12-22,0012101300,
0000504587,RV,0147056938,180.62,2019-09-24,0012101300,2019-11-23
0000502405,SA,0147219307,118109.21,2019-09-30,0012101300,2019-11-14
0000511113,RV,0147229679,51516.56,2020-06-15,0012101300,2020-07-30
0000500248,RV,0147246051,13.56,2020-12-10,0012101300,
0000500248,RV,0147246061,64.52,2020-12-10,0012101300,
0000506593,RV,0147246071,16.01,2020-12-10,0012101300,
0000507149,RV,0147246081,73.16,2020-12-10,0012101300,
0000507418,RV,0147246091,7.04,2020-12-10,0012101300,
0000511113,RV,0147249146,3300.75,2019-10-10,0012101300,2019-11-24
0000500248,RV,0147280688,59.89,2020-11-30,0012101300,
0000505423,SA,0147281355,34694.91,2020-09-15,0012101300,2020-10-30
0000505063,SA,0147310499,91630.63,2019-11-30,0012101300,2020-02-28
0000512506,RV,0147358078,176999.72,2020-11-16,0012101300,2020-12-31
0000500642,RV,0147387314,12157.61,2019-09-29,0012101300,2019-11-28
0000510878,RV,0147393960,230.70,2020-10-22,0012101300,2020-12-06
0000510878,RV,0147393970,1118.59,2020-10-22,0012101300,2020-12-21
0000510878,RV,0147393980,2.70,2020-10-22,0012101300,2020-12-06
0000510878,RV,0147393990,911.64,2020-10-22,0012101300,2020-12-06
0000509282,RV,0147394102,1278.30,2019-09-26,0012101300,2019-12-25
0000511113,RV,0147432821,24475.12,2019-10-17,0012101300,2019-12-16
0000509282,RV,0147495998,58.54,2020-11-22,0012101300,
0000511113,RV,0147643935,310.80,2019-10-09,0012101300,2019-11-23
0000511113,RV,0147660651,3129.69,2020-04-13,0012101300,2020-05-28
0000504587,RV,0147733224,421.44,2019-10-14,0012101300,2019-11-28
0000500248,RV,0147750750,60.58,2020-12-21,0012101300,
0000500248,RV,0147750760,14.52,2020-12-21,0012101300,
0000502823,RV,0147750770,137.09,2020-12-21,0012101300,
0000509282,RV,0147750782,7.45,2020-12-21,0012101300,
0000509282,RV,0147750792,81.85,2020-12-21,0012101300,
0000507149,RV,0147767792,9844.66,2020-08-10,0012101300,2020-09-24
0000507149,RV,0147800437,1899.48,2020-03-12,0012101300,2020-04-26
0000507149,RV,0147916526,2366.97,2019-10-28,0012101300,2019-12-12
0000505619,RV,0147941098,52.49,2020-10-14,0012101300,
0000506786,RV,0147986374,245469.45,2019-12-25,0012100400,2020-03-24
0000506340,RV,0148029464,25.98,2020-12-07,0012101300,
0000512555,RV,0148036295,451.62,2020-12-16,0012101300,
0000507149,RV,0148192253,138874.88,2019-11-24,0012101300,2020-01-08
0000502405,SA,0148216964,2370748.73,2019-12-29,0012101300,2020-02-12
0000509282,RV,0148246079,14962.65,2020-04-13,0012101300,2020-06-12
0000504587,RV,0148281959,0.99,2020-12-23,0012101300,
0000506344,RV,0148281971,74.04,2020-12-23,0012101300,
0000511560,RV,0148281981,15.99,2020-12-23,0012101300,
0000506340,RV,0148282389,170244.76,2020-11-05,0012101300,2020-12-20
0000503792,RV,0148309055,467.51,2020-11-05,0012101300,
0000511113,RV,0148395132,3438.39,2019-11-09,0012101300,2020-01-08
0000507418,RV,0148479883,24.07,2020-12-07,0012101300,
0000507418,RV,0148479893,54.57,2020-12-07,0012101300,
0000510878,RV,0148530248,1.76,2020-12-21,0012101300,
0000510878,RV,0148530258,0.00,2020-12-21,0012101300,
0000510878,RV,0148530268,0.00,2020-12-21,0012101300,
0000510878,RV,0148530278,2.62,2020-12-21,0012101300,
0000510878,RV,0148530288,0.00,2020-12-21,0012101300,
0000510878,RV,0148530298,0.16,2020-12-21,0012101300,
0000505214,ZT,0148699985,-16076.82,2020-04-27,0012101300,2020-06-26
0000502405,RV,0148722628,70898.12,2020-09-25,0012101300,2020-11-24
0000510633,RV,0148727227,6263.15,2019-12-04,0012101300,2020-03-03
0000505619,RV,0148774445,458.78,2019-12-11,0012101300,2020-01-25
0000507149,RV,0148816590,906.15,2020-03-06,0012101300,2020-06-04
0000505063,SA,0148844496,1.54,2020-12-29,0012101300,
0000512170,RV,0148901297,17.44,2020-12-23,0012101300,
0000502414,RV,0148925865,5184.23,2020-04-13,0012101300,2020-07-12
0000515933,RV,0148944076,66549.25,2020-10-30,0012100400,2020-12-14
0000500330,RV,0148989973,22721.94,2020-07-23,0012100400,2020-10-21
0000507149,RV,0149010903,26555.12,2020-01-05,0012101300,2020-03-05
0000511718,RV,0149024558,55.80,2020-11-30,0012101300,
0000515711,RV,0149024568,268.74,2020-11-30,0012101300,
0000506340,RV,0149239481,22842.34,2020-10-28,0012101300,2020-12-27
0000511113,RV,0149242113,85.50,2020-01-16,0012101300,2020-03-16
0000505063,RV,0149288535,947.17,2020-08-03,0012101300,2020-09-17
0000507964,ZT,0149341584,-219369.83,2020-09-30,0012101300,2020-12-29
0000511603,RV,0149376195,2976.42,2020-08-31,0012100400,2020-10-15
0000500308,ZT,0149377947,54181.09,2020-12-09,0012100400,
0000511533,SA,0149389866,0.12,2020-11-18,0012101300,
0000513110,SA,0149487322,-0.02,2020-04-03,0012101300,2020-06-02
0000500248,RV,0149551883,76.61,2020-12-14,0012101300,
0000502823,RV,0149551893,12.61,2020-12-14,0012101300,
0000516618,SA,0149552169,308.29,2020-12-31,0012101300,
0000505619,RV,0149568447,383.07,2020-04-01,0012101300,2020-05-16
0000500248,RV,0149575178,21.42,2020-12-15,0012101300,
0000500248,RV,0149575188,70.91,2020-12-15,0012101300,
0000500248,RV,0149575198,121.49,2020-12-15,0012101300,
0000507149,RV,0149576964,2604.65,2020-08-04,0012101300,2020-10-03
0000510877,RV,0149587191,492.50,2020-06-14,0012101300,2020-07-29
0000511113,SA,0149641949,-72.16,2020-12-31,0012101300,
0000511113,RV,0149714413,7816.81,2020-02-29,0012101300,2020-04-29
0000509203,RV,0149738128,6734.80,2020-08-22,0012100400,2020-10-21
0000509282,RV,0149738189,13.50,2020-11-12,0012101300,
0000509282,RV,0149738199,14.58,2020-11-12,0012101300,
0000511113,RV,0149792350,9279.07,2020-09-06,0012101300,2020-12-05
0000512170,RV,0149792374,54.65,2020-11-29,0012101300,
0000512170,RV,0149792384,16.08,2020-11-29,0012101300,
0000512170,RV,0149792394,38.80,2020-11-29,0012101300,
0000506340,RV,0149812183,10.33,2020-11-07,0012101300,
0000500248,RV,0149812198,10.98,2020-11-26,0012101300,
0000501642,RV,0149820889,0.04,2020-12-01,0012101300,
0000502823,ZT,0149820920,94.17,2020-12-31,0012101300,
0000507149,ZT,0149828969,1560.85,2020-06-30,0012101300,2020-08-29
0000511113,RV,0149881481,814.21,2020-07-03,0012101300,2020-08-17
0000505423,RV,0149894824,-1636.23,2020-07-07,0012101300,2020-08-21
0000516850,RV,0149894879,8127.32,2020-07-31,0012101300,2020-10-29
0000500248,RV,0149907972,140.64,2020-12-18,0012101300,
0000509282,RV,0149907982,24.14,2020-12-18,0012101300,
0000509282,RV,0149912737,6.86,2020-12-09,0012101300,
0000507998,ZT,0149926843,-0.85,2020-11-30,0012100400,
0000512170,RV,0149926974,115.95,2020-12-13,0012101300,
0000501472,ZT,0149948757,1584125.04,2020-10-31,0012100400,2020-12-15
0000516500,SA,0149949368,0.00,2020-12-22,0012101300,
0000501635,ZT,0149975952,105.59,2020-11-30,0012101300,
0000500248,RV,0150051170,228.06,2020-12-24,0012101300,
0000500248,RV,0150051180,61.65,2020-12-24,0012101300,
0000505063,RV,0150051192,106.15,2020-12-24,0012101300,
0000511113,RV,0150061748,1350.84,2020-04-27,0012101300,2020-06-11
0000513110,SA,0150125970,1095323.26,2020-04-03,0012101300,2020-06-02
0000510878,RV,0150134670,6568.46,2020-10-29,0012101300,2020-12-28
0000507149,RV,0150150415,1664.22,2020-04-07,0012101300,2020-07-06
0000505423,RV,0150155517,0.07,2020-10-29,0012101300,
0000507149,RV,0150172955,140.05,2020-12-16,0012101300,
0000507418,RV,0150172965,203.01,2020-12-16,0012101300,
0000515391,RV,0150172989,32.44,2020-12-16,0012101300,
0000507149,RV,0150173008,3236.32,2020-04-01,0012101300,2020-06-30
0000505063,RV,0150180725,66045.37,2020-09-30,0012101300,2020-12-29
0000505816,SA,0150188384,0.25,2020-12-14,0012101300,
0000509282,RV,0150188481,135.06,2020-12-31,0012101300,
0000502405,RV,0150190564,41368.85,2020-05-15,0012101300,2020-06-29
0000507149,RV,0150194309,1392.33,2020-06-07,0012101300,2020-07-22
0000500248,RV,0150204160,167.01,2020-11-21,0012101300,
0000500248,RV,0150204170,64.45,2020-11-21,0012101300,
0000500248,RV,0150204180,63.66,2020-11-21,0012101300,
0000500248,RV,0150204190,8.66,2020-11-21,0012101300,
0000505869,ZT,0150226636,-0.79,2020-11-30,0012100400,
0000500248,RV,0150232653,231.89,2020-12-28,0012101300,
0000500248,RV,0150232663,126.82,2020-12-29,0012101300,
0000501642,RV,0150232673,1.06,2020-12-28,0012101300,
0000502401,RV,0150232685,2.98,2020-12-28,0012101300,
0000506593,RV,0150232698,1.73,2020-12-28,0012101300,
0000505063,RV,0150261881,1001.41,2020-07-14,0012101300,2020-09-12
0000502405,RV,0150309763,9.28,2020-12-27,0012101300,
0000501635,ZT,0150331999,442.73,2020-11-30,0012101300,
0000507149,RV,0150333359,620.14,2020-07-07,0012101300,2020-09-05
0000507149,RV,0150480182,18.31,2020-11-18,0012101300,
0000505619,RV,0150507876,20659.86,2020-05-15,0012101300,2020-06-29
0000500248,RV,0150513155,200.15,2020-11-25,0012101300,
0000511113,RV,0150513171,3.54,2020-11-26,0012101300,
0000502405,SA,0150513952,51318.95,2020-07-31,0012101300,2020-09-29
0000511113,RV,0150527692,15875.51,2020-05-06,0012101300,2020-07-05
0000503795,RV,0150533979,13330.38,2020-10-12,0012101300,2020-12-11
0000507149,RV,0150542776,1702.12,2020-11-11,0012101300,2020-12-26
0000501635,ZT,0150553460,239879.82,2020-09-01,0012101300,2020-10-31
0000510878,RV,0150556084,42068.54,2020-11-10,0012101300,2020-12-25
0000500248,RV,0150556350,3.63,2020-12-14,0012101300,
0000504587,RV,0150556367,2.13,2020-12-14,0012101300,
0000505063,RV,0150556379,31.72,2020-12-14,0012101300,
0000505063,RV,0150556389,83.66,2020-12-14,0012101300,
0000505063,RV,0150556399,76.49,2020-12-14,0012101300,
0000515956,RV,0150556497,1.32,2020-10-31,0012101300,
0000505063,SA,0150569991,7856.92,2020-08-28,0012101300,2020-10-12
0000506786,RV,0150593384,174652.80,2020-08-17,0012100400,2020-10-16
0000500248,RV,0150633203,59.40,2020-12-09,0012101300,
0000500248,RV,0150633213,32.98,2020-12-09,0012101300,
0000510633,RV,0150633223,447.71,2020-12-09,0012101300,
0000515391,RV,0150633233,184.62,2020-12-09,0012101300,
0000507149,RV,0150641311,3844.03,2020-05-26,0012101300,2020-07-25
0000503797,ZT,0150665662,34.39,2020-12-31,0012101300,
0000506786,RV,0150670538,218316.00,2020-05-27,0012100400,2020-07-11
0000507149,RV,0150705179,111.16,2020-05-29,0012101300,2020-07-28
0000503795,RV,0150705375,170.49,2020-12-07,0012101300,
0000500248,RV,0150724409,13.68,2020-12-19,0012101300,
0000500248,RV,0150724419,1.29,2020-12-19,0012101300,
0000502769,RV,0150724429,161085.53,2020-12-18,0012100400,
0000505063,RV,0150724439,104.40,2020-12-19,0012101300,
0000507998,RV,0150724449,410963.06,2020-12-18,0012100400,
0000510878,RV,0150724459,1.31,2020-12-18,0012101300,
0000510878,RV,0150724469,3.23,2020-12-18,0012101300,
0000510878,RV,0150724479,4.12,2020-12-18,0012101300,
0000510878,RV,0150724489,0.00,2020-12-18,0012101300,
0000510878,RV,0150724499,0.10,2020-12-18,0012101300,
0000510755,RV,0150766393,1469.11,2020-06-30,0012100400,2020-09-28
0000507149,RV,0150893761,1.89,2020-12-23,0012101300,
0000509282,RV,0150893950,13.21,2020-12-27,0012101300,
0000502893,RV,0150908128,1120.52,2020-11-05,0012100400,
0000509282,RV,0150908156,28.97,2020-11-05,0012101300,
0000511602,RV,0150908180,19208.96,2020-11-05,0012100400,
0000515956,RV,0150908192,1.24,2020-11-05,0012101300,
0000500248,RV,0150908675,7.14,2020-11-21,0012101300,
0000507149,RV,0150908689,2.88,2020-11-21,0012101300,
0000500248,RV,0150909051,1.24,2020-10-23,0012101300,
0000515956,RV,0150909084,99523.28,2020-10-23,0012101300,2020-12-22
0000500248,RV,0150909094,391.70,2020-12-06,0012101300,
0000516470,RV,0150923080,54843.15,2020-08-25,0012101300,2020-10-09
0000500330,RV,0150928166,12217.07,2020-06-28,0012100400,2020-08-12
0000515933,ZT,0150937932,168785.02,2020-11-30,0012100400,
0000511718,RV,0150938149,7098.66,2020-10-29,0012101300,2020-12-28
0000505063,RV,0150952676,2.90,2020-11-25,0012101300,
0000510878,RV,0150952688,0.01,2020-11-24,0012101300,
0000510878,RV,0150952698,0.02,2020-11-24,0012101300,
0000500330,RV,0150957840,5126.48,2020-07-16,0012100400,2020-08-30
0000500248,ZT,0150958327,6.58,2020-12-15,0012101300,
0000507076,ZT,0150994743,92.91,2020-12-28,0012101300,
0000502405,RV,0151003533,43151.99,2020-06-18,0012101300,2020-08-17
0000505619,RV,0151005215,1071.38,2020-06-22,0012101300,2020-08-06
0000515956,RV,0151011165,720.58,2020-06-23,0012101300,2020-09-21
0000505619,RV,0151054533,33.89,2020-11-04,0012101300,
0000505063,RV,0151077711,7036.40,2020-07-22,0012101300,2020-09-05
0000505423,RV,0151078399,375.00,2020-10-29,0012101300,2020-12-28
0000500248,RV,0151081880,76.77,2020-12-10,0012101300,
0000507418,RV,0151081890,3.52,2020-12-10,0012101300,
0000502405,SA,0151118915,-345.93,2020-12-31,0012101300,
0000509282,RV,0151267774,16.33,2020-12-06,0012101300,
0000515391,RV,0151269071,190.96,2020-12-19,0012101300,
0000516596,ZT,0151295113,30467.22,2020-06-30,0012101300,2020-08-29
0000506786,RV,0151300395,193774.43,2020-10-27,0012100400,2020-12-11
0000500248,RV,0151306535,189.69,2020-12-19,0012101300,
0000500248,RV,0151306545,62.88,2020-12-19,0012101300,
0000502397,RV,0151306555,40.93,2020-12-19,0012101300,
0000504587,RV,0151306565,1.74,2020-12-19,0012101300,
0000507149,RV,0151306575,97.73,2020-12-19,0012101300,
0000507149,RV,0151306585,46.94,2020-12-19,0012101300,
0000507149,RV,0151306595,9.52,2020-12-19,0012101300,
0000511113,RV,0151309025,2270.03,2020-07-06,0012101300,2020-10-04
0000502842,RV,0151325489,2501.06,2020-09-29,0012100400,2020-12-28
0000506344,RV,0151325747,177222.10,2020-11-02,0012101300,2020-12-17
0000509282,RV,0151325762,41207.47,2020-11-01,0012101300,2020-12-31
0000512767,RV,0151325775,60.85,2020-11-02,0012101300,
0000505063,RV,0151325796,17.41,2020-11-20,0012101300,
0000516850,RV,0151337871,8127.32,2020-07-11,0012101300,2020-08-25
0000502769,RV,0151338667,6102.00,2020-09-19,0012100400,2020-11-03
0000506340,ZT,0151346198,177.74,2020-12-23,0012101300,
0000500248,RV,0151361922,29.58,2020-11-28,0012101300,
0000500248,RV,0151361932,37.61,2020-11-28,0012101300,
0000502397,RV,0151361942,2.01,2020-11-28,0012101300,
0000507149,RV,0151361959,10.57,2020-11-28,0012101300,
0000507149,RV,0151361969,2.32,2020-11-28,0012101300,
0000507149,RV,0151361979,21.78,2020-11-28,0012101300,
0000507418,RV,0151361989,30.69,2020-11-28,0012101300,
0000511128,RV,0151361999,0.07,2020-11-28,0012101300,
0000510878,RV,0151362093,2.61,2020-10-21,0012101300,
0000505063,RV,0151362436,59070.90,2020-07-16,0012101300,2020-08-30
0000516850,RV,0151374743,8127.32,2020-07-17,0012101300,2020-09-15
0000505063,RV,0151393807,155120.07,2020-07-20,0012101300,2020-09-03
0000505619,RV,0151411860,2678.44,2020-08-17,0012101300,2020-10-16
0000505063,RV,0151416570,93082.03,2020-11-09,0012101300,2020-12-24
0000509282,RV,0151417220,31.17,2020-12-28,0012101300,
0000509282,RV,0151417230,4.68,2020-12-28,0012101300,
0000509282,RV,0151417240,7.96,2020-12-28,0012101300,
0000502769,RV,0151417351,2663949.85,2020-11-07,0012100400,
0000509201,RV,0151417373,17190.64,2020-11-07,0012100400,
0000515505,RV,0151417391,32.85,2020-11-07,0012101300,
0000513310,RV,0151423832,22.98,2020-11-20,0012101300,
0000500248,RV,0151423975,354.20,2020-12-25,0012101300,
0000500248,RV,0151423985,40.94,2020-12-25,0012101300,
0000506593,SA,0151424131,0.41,2020-12-15,0012101300,
0000505063,RV,0151424224,7.24,2020-11-30,0012101300,
0000505063,RV,0151424234,5.19,2020-11-30,0012101300,
0000500359,RV,0151431119,0.10,2020-11-20,0012101300,
0000504755,RV,0151431149,20466.47,2020-11-19,0012100400,
0000505869,RV,0151431159,123134.37,2020-11-19,0012100400,
0000509282,RV,0151431171,8.96,2020-11-19,0012101300,
0000510878,RV,0151431181,0.01,2020-11-20,0012101300,
0000510878,RV,0151431191,0.67,2020-11-20,0012101300,
0000516850,RV,0151444239,8127.32,2020-07-25,0012101300,2020-09-08
0000502401,RV,0151448660,78.70,2020-12-11,0012101300,
0000507149,RV,0151448671,1.27,2020-12-11,0012101300,
0000507149,RV,0151448681,39.71,2020-12-11,0012101300,
0000507149,RV,0151448691,3.52,2020-12-11,0012101300,
0000500359,RV,0151452561,5.88,2020-12-18,0012101300,
0000511128,RV,0151452577,2.46,2020-12-18,0012101300,
0000511128,RV,0151452588,1.06,2020-12-18,0012101300,
0000512170,RV,0151452598,53.28,2020-12-18,0012101300,
0000509282,RV,0151464036,11680.58,2020-07-28,0012101300,2020-09-26
0000507149,RV,0151492624,4196.71,2020-07-29,0012101300,2020-09-12
0000509282,RV,0151492932,15.90,2020-12-23,0012101300,
0000509282,RV,0151492942,8.69,2020-12-23,0012101300,
0000515956,RV,0151492952,225.29,2020-12-22,0012101300,
0000517220,RV,0151511964,66.27,2020-12-31,0012101300,
0000511718,RV,0151519075,108.68,2020-12-15,0012101300,
0000507149,RV,0151537811,7697.28,2020-08-10,0012101300,2020-09-24
0000500248,RV,0151541649,69.53,2020-11-24,0012101300,
0000500248,RV,0151541659,33.05,2020-11-24,0012101300,
0000509282,RV,0151541671,5.08,2020-11-24,0012101300,
0000502401,RV,0151616363,4.45,2020-11-17,0012101300,
0000507149,RV,0151616379,3.20,2020-11-17,0012101300,
0000510878,RV,0151616399,131.68,2020-11-17,0012101300,
0000500248,RV,0151632212,60.83,2020-11-28,0012101300,
0000505070,RV,0151632233,2.44,2020-11-27,0012101300,
0000507418,RV,0151632243,7.46,2020-11-28,0012101300,
0000509282,RV,0151632253,84.13,2020-11-06,0012101300,
0000511128,RV,0151632263,0.18,2020-11-28,0012101300,
0000512170,RV,0151632273,1.46,2020-11-27,0012101300,
0000512170,RV,0151632283,58.61,2020-11-27,0012101300,
0000512170,RV,0151632293,0.73,2020-11-27,0012101300,
0000507149,RV,0151679720,9708.96,2020-07-17,0012101300,2020-08-31
0000505063,RV,0151685028,1.43,2020-11-25,0012101300,
0000509282,ZT,0151688084,91.01,2020-08-24,0012101300,2020-10-08
0000500330,ZT,0151715758,798137.47,2020-11-06,0012100400,
0000513755,ZT,0151717862,5.32,2020-11-10,0012101300,
0000515711,RV,0151722421,191.16,2020-11-10,0012101300,
0000502401,RV,0151723578,55580.75,2020-10-27,0012101300,2020-12-11
0000516775,RV,0151726534,425.06,2020-12-03,0012101300,
0000516775,RV,0151726544,425.06,2020-12-03,0012101300,
0000510878,RV,0151730589,0.13,2020-10-30,0012101300,
0000510878,RV,0151730599,0.07,2020-10-30,0012101300,
0000509282,RV,0151735515,1.07,2020-11-21,0012101300,
0000511128,RV,0151735532,0.91,2020-11-22,0012101300,
0000511128,RV,0151735542,0.26,2020-11-22,0012101300,
0000511128,RV,0151735552,1.72,2020-11-22,0012101300,
0000511128,RV,0151735562,4.74,2020-11-22,0012101300,
0000511128,RV,0151735572,1.18,2020-11-22,0012101300,
0000511128,RV,0151735582,1.48,2020-11-22,0012101300,
0000512170,RV,0151735592,69.32,2020-11-21,0012101300,
0000509282,RV,0151742860,15611.63,2020-08-05,0012101300,2020-11-03
0000507149,RV,0151745922,0.30,2020-11-04,0012101300,
0000509282,RV,0151745942,14.28,2020-11-04,0012101300,
0000511113,RV,0151745953,0.06,2020-11-04,0012101300,
0000516775,RV,0151745977,416.73,2020-11-04,0012101300,
0000500248,RV,0151745990,23.73,2020-12-09,0012101300,
0000502401,RV,0151762597,82175.58,2020-10-20,0012101300,2020-12-19
0000505063,RV,0151765127,25.10,2020-11-23,0012101300,
0000505423,RV,0151765137,0.60,2020-11-23,0012101300,
0000510914,RV,0151765150,3.16,2020-11-23,0012101300,
0000516775,RV,0151765163,0.41,2020-11-23,0012101300,
0000506593,RV,0151765230,2.29,2020-10-13,0012101300,
0000500248,RV,0151765279,98.59,2020-12-09,0012101300,
0000502413,RV,0151765292,59.22,2020-12-09,0012101300,
0000509282,RV,0151765430,7.39,2020-11-16,0012101300,
0000511718,RV,0151765587,96.63,2020-12-08,0012101300,
0000515711,RV,0151766493,172.47,2020-11-03,0012101300,
0000516775,RV,0151766584,250.93,2020-11-24,0012101300,
0000506786,RV,0151780035,8824.12,2020-10-07,0012100400,2020-12-06
0000500248,RV,0151789612,1.29,2020-12-03,0012101300,
0000502397,RV,0151789622,14.75,2020-12-02,0012101300,
0000507149,RV,0151789633,1.78,2020-12-02,0012101300,
0000507149,RV,0151789643,1.78,2020-12-02,0012101300,
0000507418,RV,0151789653,4.25,2020-12-02,0012101300,
