JENumber,FechaEfectiva,Mes,CuentaContable,Monto,Usuario,FechaEntrada
0100047205,20200105,01,0010401072,24630.96,JROMAN,20200109
0100047205,20200105,01,0012101300,-24630.96,JROMAN,20200109
0100047206,20200105,01,0010401070,24630.96,JROMAN,20200109
0100047206,20200105,01,0010401072,-24630.96,JROMAN,20200109
0100047207,20200109,01,0046100400,-100000,JROMAN,20200110
0100047207,20200109,01,0010401076,100000,JROMAN,20200110
0100047208,20200109,01,0010401086,70463.04,JROMAN,20200110
0100047208,20200109,01,0010401076,-70463.04,JROMAN,20200110
0100047209,20200109,01,0010401070,100000,JROMAN,20200110
0100047209,20200109,01,0010401076,-100000,JROMAN,20200110
0100047210,20200109,01,0010401080,70463.04,JROMAN,20200110
0100047210,20200109,01,0010401086,-70463.04,JROMAN,20200110
0100047211,20200105,01,0010401086,-90458.74,JROMAN,20200110
0100047211,20200105,01,0010401076,90458.74,JROMAN,20200110
0100047212,20200109,01,0010401070,-70463.04,JROMAN,20200110
0100047212,20200109,01,0010401076,70463.04,JROMAN,20200110
0100047213,20200109,01,0010401080,-70463.04,JROMAN,20200110
0100047213,20200109,01,0010401086,70463.04,JROMAN,20200110
0100047213,20200109,01,0067600800,0,JROMAN,20200110
0100047214,20200110,01,0010401086,4973.21,JROMAN,20200111
0100047214,20200110,01,0010401076,-4973.21,JROMAN,20200111
0100047215,20200110,01,0010401080,4973.21,CMUNAYCO,20200111
0100047215,20200110,01,0010401086,-4973.21,CMUNAYCO,20200111
0100047216,20200110,01,0010401070,-4973.21,CMUNAYCO,20200111
0100047216,20200110,01,0010401076,4973.21,CMUNAYCO,20200111
0100047217,20200111,01,0010401080,-44.7,CMUNAYCO,20200112
0100047217,20200111,01,0010401086,44.7,CMUNAYCO,20200112
0100047217,20200111,01,0067600800,0,CMUNAYCO,20200112
0100047218,20200111,01,0010401086,44.7,JROMAN,20200112
0100047218,20200111,01,0010401076,-44.7,JROMAN,20200112
0100047219,20200111,01,0010401072,24.87,JROMAN,20200112
0100047219,20200111,01,0012101300,-24.87,JROMAN,20200112
0100047220,20200111,01,0010401080,44.7,JROMAN,20200112
0100047220,20200111,01,0010401086,-44.7,JROMAN,20200112
0100047221,20200111,01,0010401070,-44.7,JROMAN,20200112
0100047221,20200111,01,0010401076,44.7,JROMAN,20200112
0100047222,20200111,01,0010401070,24.87,JROMAN,20200112
0100047222,20200111,01,0010401072,-24.87,JROMAN,20200112
0100047223,20200112,01,0010401072,18482.01,JROMAN,20200112
0100047223,20200112,01,0012101300,-18482.01,JROMAN,20200112
0100047224,20200112,01,0010401086,37578.82,JROMAN,20200113
0100047224,20200112,01,0010401076,-37578.82,JROMAN,20200113
0100047225,20200112,01,0040300400,402.5,JROMAN,20200113
0100047225,20200112,01,0010401086,-402.5,JROMAN,20200113
0100047226,20200112,01,0046920200,564.32,JROMAN,20200113
0100047226,20200112,01,0010401086,-564.32,JROMAN,20200113
0100047227,20200112,01,0010401070,18482.01,JROMAN,20200113
0100047227,20200112,01,0010401072,-18482.01,JROMAN,20200113
0100047228,20200112,01,0010401080,-402.5,JROMAN,20200113
0100047228,20200112,01,0010401086,402.5,JROMAN,20200113
0100047229,20200112,01,0010401080,37578.82,JROMAN,20200113
0100047229,20200112,01,0010401086,-37578.82,JROMAN,20200113
0100047230,20200112,01,0010401070,-37578.82,JROMAN,20200113
0100047230,20200112,01,0010401076,37578.82,JROMAN,20200113
0100047231,20200112,01,0010401080,-564.32,JROMAN,20200113
0100047231,20200112,01,0010401086,564.32,JROMAN,20200113
0100047232,20200112,01,0010401080,-36612,JROMAN,20200113
0100047232,20200112,01,0010401086,36612,JROMAN,20200113
0100047232,20200112,01,0067600800,0,JROMAN,20200113
0100047233,20200113,01,0010401086,72049.31,JROMAN,20200116
0100047233,20200113,01,0010401076,-72049.31,JROMAN,20200116
0100047234,20200113,01,0010401080,72049.31,JROMAN,20200116
0100047234,20200113,01,0010401086,-72049.31,JROMAN,20200116
0100047235,20200113,01,0010401070,-72049.31,JROMAN,20200116
0100047235,20200113,01,0010401076,72049.31,JROMAN,20200116
0100047236,20200113,01,0010401080,-72049.31,JROMAN,20200116
0100047236,20200113,01,0010401086,72049.31,JROMAN,20200116
0100047236,20200113,01,0067600800,0,JROMAN,20200116
0100047238,20200117,01,0010401072,4282,JROMAN,20200117
0100047238,20200117,01,0012101300,-4282,JROMAN,20200117
0100047239,20200117,01,0010401080,-34815.4,CMUNAYCO,20200118
0100047239,20200117,01,0010401086,34815.4,CMUNAYCO,20200118
0100047239,20200117,01,0067600800,0,CMUNAYCO,20200118
0100047240,20200117,01,0046100400,-100000,JROMAN,20200118
0100047240,20200117,01,0010401076,100000,JROMAN,20200118
0100047241,20200117,01,0010401086,34815.4,JROMAN,20200118
0100047241,20200117,01,0010401076,-34815.4,JROMAN,20200118
0100047242,20200117,01,0010401080,34815.4,JROMAN,20200118
0100047242,20200117,01,0010401086,-34815.4,JROMAN,20200118
0100047243,20200117,01,0010401070,-34815.4,JROMAN,20200118
0100047243,20200117,01,0010401076,34815.4,JROMAN,20200118
0100047244,20200117,01,0010401070,4282,JROMAN,20200118
0100047244,20200117,01,0010401072,-4282,JROMAN,20200118
0100047245,20200117,01,0010401070,100000,JROMAN,20200118
0100047245,20200117,01,0010401076,-100000,JROMAN,20200118
0100047246,20200101,01,0040110100,1654.81,JROMAN,20200118
0100047246,20200101,01,0070200100,20.54,JROMAN,20200118
0100047246,20200101,01,0070100100,116.48,JROMAN,20200118
0100047246,20200101,01,0012101300,-1791.83,JROMAN,20200118
0100047247,20200118,01,0010401080,-910.93,CMUNAYCO,20200119
0100047247,20200118,01,0010401086,910.93,CMUNAYCO,20200119
0100047247,20200118,01,0067600800,0,CMUNAYCO,20200119
0100047248,20200118,01,0010401080,-3013.22,CMUNAYCO,20200119
0100047248,20200118,01,0010401086,3013.22,CMUNAYCO,20200119
0100047248,20200118,01,0067600800,0,CMUNAYCO,20200119
0100047249,20200118,01,0010401086,12115.5,JROMAN,20200119
0100047249,20200118,01,0010401076,-12115.5,JROMAN,20200119
0100047250,20200118,01,0040300400,146.58,JROMAN,20200119
0100047250,20200118,01,0010401086,-146.58,JROMAN,20200119
0100047251,20200118,01,0010401080,12115.5,JROMAN,20200119
0100047251,20200118,01,0010401086,-12115.5,JROMAN,20200119
0100047252,20200118,01,0010401070,-12115.5,JROMAN,20200119
0100047252,20200118,01,0010401076,12115.5,JROMAN,20200119
0100047253,20200118,01,0010401080,-146.58,JROMAN,20200119
0100047253,20200118,01,0010401086,146.58,JROMAN,20200119
0100047254,20200118,01,0010401072,167.54,JROMAN,20200119
0100047254,20200118,01,0012101300,-167.54,JROMAN,20200119
0100047255,20200118,01,0010401070,167.54,JROMAN,20200119
0100047255,20200118,01,0010401072,-167.54,JROMAN,20200119
0100047256,20200118,01,0010401080,-3927.51,JROMAN,20200119
0100047256,20200118,01,0010401086,3927.51,JROMAN,20200119
0100047256,20200118,01,0067600800,0,JROMAN,20200119
0100047258,20200119,01,0046100400,-50000,JROMAN,20200120
0100047258,20200119,01,0010401076,50000,JROMAN,20200120
0100047259,20200119,01,0010401080,-137.28,CMUNAYCO,20200120
0100047259,20200119,01,0010401086,137.28,CMUNAYCO,20200120
0100047259,20200119,01,0067600800,0,CMUNAYCO,20200120
0100047260,20200119,01,0010401070,50000,CMUNAYCO,20200120
0100047260,20200119,01,0010401076,-50000,CMUNAYCO,20200120
0100047261,20200119,01,0010401086,137.28,JROMAN,20200120
0100047261,20200119,01,0010401076,-137.28,JROMAN,20200120
0100047262,20200119,01,0010401080,137.28,JROMAN,20200120
0100047262,20200119,01,0010401086,-137.28,JROMAN,20200120
0100047263,20200119,01,0010401070,-137.28,JROMAN,20200120
0100047263,20200119,01,0010401076,137.28,JROMAN,20200120
0100047264,20200116,01,0040300100,311.27,JROMAN,20200120
0100047264,20200116,01,0040300300,1190.62,JROMAN,20200120
0100047264,20200116,01,0040300400,269.39,JROMAN,20200120
0100047264,20200116,01,0010401086,-1771.28,JROMAN,20200120
0100047265,20200110,01,0040300100,865.2,JROMAN,20200120
0100047265,20200110,01,0040300300,3309.41,JROMAN,20200120
0100047265,20200110,01,0040300400,798.6,JROMAN,20200120
0100047265,20200110,01,0010401086,-4973.21,JROMAN,20200120
0100047266,20200118,01,0040300100,725.56,JROMAN,20200120
0100047266,20200118,01,0040300300,2775.23,JROMAN,20200120
0100047266,20200118,01,0040300400,616.47,JROMAN,20200120
0100047266,20200118,01,0010401086,-4117.26,JROMAN,20200120
0100047267,20200114,01,0040300100,914.48,JROMAN,20200120
0100047267,20200114,01,0040300300,3497.92,JROMAN,20200120
0100047267,20200114,01,0040300400,705.05,JROMAN,20200120
0100047267,20200114,01,0010401086,-5117.45,JROMAN,20200120
0100047268,20200104,01,0010401080,-5117.45,JROMAN,20200120
0100047268,20200104,01,0010401086,5117.45,JROMAN,20200120
0100047268,20200104,01,0067600800,0,JROMAN,20200120
0100047269,20200106,01,0010401080,-1771.28,JROMAN,20200120
0100047269,20200106,01,0010401086,1771.28,JROMAN,20200120
0100047269,20200106,01,0067600800,0,JROMAN,20200120
0100047270,20200110,01,0010401080,-4973.21,JROMAN,20200120
0100047270,20200110,01,0010401086,4973.21,JROMAN,20200120
0100047271,20200118,01,0010401080,-4117.26,JROMAN,20200120
0100047271,20200118,01,0010401086,4117.26,JROMAN,20200120
0100047272,20200120,01,0042100100,6517.32,JROMAN,20200123
0100047272,20200120,01,0010401086,-6517.32,JROMAN,20200123
0100047273,20200120,01,0010401086,1743.95,JROMAN,20200123
0100047273,20200120,01,0010401076,-1743.95,JROMAN,20200123
0100047274,20200120,01,0010401080,1743.95,JROMAN,20200123
0100047274,20200120,01,0010401086,-1743.95,JROMAN,20200123
0100047275,20200120,01,0010401070,-1743.95,JROMAN,20200123
0100047275,20200120,01,0010401076,1743.95,JROMAN,20200123
0100047276,20200120,01,0010401070,-6517.32,JROMAN,20200123
0100047276,20200120,01,0010401086,6517.32,JROMAN,20200123
0100047277,20200123,01,0012101300,1689.6,JROMAN,20200123
0100047277,20200123,01,0070200100,-1689.6,JROMAN,20200123
0100047278,20200123,01,0010401086,18359.88,JROMAN,20200124
0100047278,20200123,01,0010401076,-18359.88,JROMAN,20200124
0100047279,20200123,01,0010401080,18359.88,JROMAN,20200124
0100047279,20200123,01,0010401086,-18359.88,JROMAN,20200124
0100047280,20200123,01,0010401070,-18359.88,JROMAN,20200124
0100047280,20200123,01,0010401076,18359.88,JROMAN,20200124
0100047281,20200123,01,0010401080,-97.02,JROMAN,20200124
0100047281,20200123,01,0010401081,97.02,JROMAN,20200124
0100047281,20200123,01,0067600800,0,JROMAN,20200124
0100047282,20200123,01,0010401080,-1520.48,JROMAN,20200124
0100047282,20200123,01,0010401081,1520.48,JROMAN,20200124
0100047282,20200123,01,0067600800,0,JROMAN,20200124
0100047283,20200123,01,0010401080,-16742.38,JROMAN,20200124
0100047283,20200123,01,0010401081,16742.38,JROMAN,20200124
0100047283,20200123,01,0067600800,0,JROMAN,20200124
0100047284,20200124,01,0010401086,13627.54,JROMAN,20200125
0100047284,20200124,01,0010401076,-13627.54,JROMAN,20200125
0100047285,20200124,01,0010401080,13627.54,JROMAN,20200125
0100047285,20200124,01,0010401086,-13627.54,JROMAN,20200125
0100047286,20200124,01,0010401070,-13627.54,JROMAN,20200125
0100047286,20200124,01,0010401076,13627.54,JROMAN,20200125
0100047287,20200124,01,0010401080,-10.4,JROMAN,20200125
0100047287,20200124,01,0010401081,10.4,JROMAN,20200125
0100047287,20200124,01,0067600800,0,JROMAN,20200125
0100047288,20200124,01,0010401080,-1533.65,JROMAN,20200125
0100047288,20200124,01,0010401086,1533.65,JROMAN,20200125
0100047288,20200124,01,0067600800,0,JROMAN,20200125
0100047289,20200124,01,0010401080,-7459.9,JROMAN,20200125
0100047289,20200124,01,0010401086,7459.9,JROMAN,20200125
0100047289,20200124,01,0067600800,0,JROMAN,20200125
0100047290,20200125,01,0042100100,-4145,PR_MADOTOR,20200125
0100047290,20200125,01,0042100100,4145,PR_MADOTOR,20200125
0100047291,20200125,01,0010401086,546.25,JROMAN,20200126
0100047291,20200125,01,0010401076,-546.25,JROMAN,20200126
0100047292,20200125,01,0046100400,-100000,JROMAN,20200126
0100047292,20200125,01,0010401076,100000,JROMAN,20200126
0100047293,20200125,01,0010401070,100000,JROMAN,20200126
0100047293,20200125,01,0010401076,-100000,JROMAN,20200126
0100047293,20200125,01,0067600800,0,JROMAN,20200126
0100047294,20200125,01,0010401080,546.25,JROMAN,20200126
0100047294,20200125,01,0010401086,-546.25,JROMAN,20200126
0100047295,20200125,01,0010401070,-546.25,JROMAN,20200126
0100047295,20200125,01,0010401076,546.25,JROMAN,20200126
0100047296,20200125,01,0010401072,142.66,JROMAN,20200126
0100047296,20200125,01,0012101300,-142.66,JROMAN,20200126
0100047297,20200125,01,0010401070,142.66,JROMAN,20200126
0100047297,20200125,01,0010401072,-142.66,JROMAN,20200126
0100047298,20200125,01,0010401080,-546.25,JROMAN,20200126
0100047298,20200125,01,0010401086,546.25,JROMAN,20200126
0100047298,20200125,01,0067600800,0,JROMAN,20200126
0100047299,20200125,01,0010401072,10182.96,JROMAN,20200126
0100047299,20200125,01,0012101300,-10182.96,JROMAN,20200126
0100047300,20200125,01,0010401070,10182.96,JROMAN,20200126
0100047300,20200125,01,0010401072,-10182.96,JROMAN,20200126
0100047301,20200101,01,0040170200,24,JROMAN,20200126
0100047301,20200101,01,0040170200,65,JROMAN,20200126
0100047301,20200101,01,0040170200,71,JROMAN,20200126
0100047301,20200101,01,0040170200,143,JROMAN,20200126
0100047301,20200101,01,0040170200,2283.24,JROMAN,20200126
0100047301,20200101,01,0040170200,2380.54,JROMAN,20200126
0100047301,20200101,01,0040110100,-24,JROMAN,20200126
0100047301,20200101,01,0040110100,-65,JROMAN,20200126
0100047301,20200101,01,0040110100,-71,JROMAN,20200126
0100047301,20200101,01,0040110100,-143,JROMAN,20200126
0100047301,20200101,01,0040110100,-2283.24,JROMAN,20200126
0100047301,20200101,01,0040110100,-2380.54,JROMAN,20200126
0100047302,20200101,01,0040170200,68.79,JROMAN,20200126
0100047302,20200101,01,0040170200,133.77,JROMAN,20200126
0100047302,20200101,01,0040170200,86.1,JROMAN,20200126
0100047302,20200101,01,0040300400,-68.79,JROMAN,20200126
0100047302,20200101,01,0040300400,-133.77,JROMAN,20200126
0100047302,20200101,01,0040300400,-86.1,JROMAN,20200126
0100047303,20200126,01,0010401080,-105561.99,CMUNAYCO,20200127
0100047303,20200126,01,0010401086,105561.99,CMUNAYCO,20200127
0100047303,20200126,01,0067600800,0,CMUNAYCO,20200127
0100047304,20200126,01,0010401086,105561.99,JROMAN,20200127
0100047304,20200126,01,0010401076,-105561.99,JROMAN,20200127
0100047305,20200126,01,0010401080,105561.99,JROMAN,20200127
0100047305,20200126,01,0010401086,-105561.99,JROMAN,20200127
0100047306,20200126,01,0010401070,-105561.99,JROMAN,20200127
0100047306,20200126,01,0010401076,105561.99,JROMAN,20200127
0100047307,20200127,01,0010401080,-110,CMUNAYCO,20200130
0100047307,20200127,01,0010401086,110,CMUNAYCO,20200130
0100047307,20200127,01,0067600800,0,CMUNAYCO,20200130
0100047308,20200127,01,0010401080,-3105.83,CMUNAYCO,20200130
0100047308,20200127,01,0010401086,3105.83,CMUNAYCO,20200130
0100047308,20200127,01,0067600800,0,CMUNAYCO,20200130
0100047309,20200127,01,0046920400,545.37,JROMAN,20200130
0100047309,20200127,01,0010401076,-545.37,JROMAN,20200130
0100047310,20200127,01,0010401086,3761.2,JROMAN,20200130
0100047310,20200127,01,0010401076,-3761.2,JROMAN,20200130
0100047311,20200127,01,0010401080,3761.2,JROMAN,20200130
0100047311,20200127,01,0010401086,-3761.2,JROMAN,20200130
0100047312,20200127,01,0010401070,-3761.2,JROMAN,20200130
0100047312,20200127,01,0010401076,3761.2,JROMAN,20200130
0100047313,20200127,01,0010401080,-545.37,JROMAN,20200130
0100047313,20200127,01,0010401076,545.37,JROMAN,20200130
0100047314,20200130,01,0040170200,239.4,JROMAN,20200131
0100047314,20200130,01,0010401086,-239.4,JROMAN,20200131
0100047315,20200130,01,0010401086,80943.36,JROMAN,20200131
0100047315,20200130,01,0010401076,-80943.36,JROMAN,20200131
0100047316,20200130,01,0010401080,80943.36,JROMAN,20200131
0100047316,20200130,01,0010401086,-80943.36,JROMAN,20200131
0100047317,20200130,01,0010401070,-80943.36,JROMAN,20200131
0100047317,20200130,01,0010401076,80943.36,JROMAN,20200131
0100047318,20200130,01,0010401080,-239.4,JROMAN,20200131
0100047318,20200130,01,0010401086,239.4,JROMAN,20200131
0100047319,20200130,01,0010401080,-80703.96,JROMAN,20200131
0100047319,20200130,01,0010401086,80703.96,JROMAN,20200131
0100047319,20200130,01,0067600800,0,JROMAN,20200131
0100047320,20200115,01,0065100102,4295.3,ALAHENS,20200131
0100047320,20200115,01,0038200100,-4295.3,ALAHENS,20200131
0100047321,20200115,01,0062900101,909,ALAHENS,20200131
0100047321,20200115,01,0062900101,67,ALAHENS,20200131
0100047321,20200115,01,0062900101,67,ALAHENS,20200131
0100047321,20200115,01,0046940900,-1467,ALAHENS,20200131
0100047321,20200115,01,0062900101,170,ALAHENS,20200131
0100047321,20200115,01,0062900101,254,ALAHENS,20200131
0100047322,20200115,01,0064600104,2136,ALAHENS,20200131
0100047322,20200115,01,0038700200,-2136,ALAHENS,20200131
0100047323,20200115,01,0064600103,2576.74,ALAHENS,20200131
0100047323,20200115,01,0038700300,-2576.74,ALAHENS,20200131
0100047324,20200115,01,0064600103,-2576.74,ALAHENS,20200131
0100047324,20200115,01,0038700300,2576.74,ALAHENS,20200131
0100047325,20200115,01,0064600103,1188.44,ALAHENS,20200131
0100047325,20200115,01,0038700300,-1188.44,ALAHENS,20200131
0100047326,20200115,01,0064600103,1388.3,ALAHENS,20200131
0100047326,20200115,01,0038700100,-1388.3,ALAHENS,20200131
0100047327,20200115,01,0062730101,510,ALAHENS,20200131
0100047327,20200115,01,0062730101,123,ALAHENS,20200131
0100047327,20200115,01,0062730101,535,ALAHENS,20200131
0100047327,20200115,01,0062730101,1463,ALAHENS,20200131
0100047327,20200115,01,0062730101,180,ALAHENS,20200131
0100047327,20200115,01,0038200200,-2934,ALAHENS,20200131
0100047327,20200115,01,0062730101,123,ALAHENS,20200131
0100047328,20200115,01,0063200101,3182,ALAHENS,20200131
0100047328,20200115,01,0046940600,-3182,ALAHENS,20200131
0100047329,20200115,01,0038900200,-761.74,ALAHENS,20200131
0100047329,20200115,01,0063400108,761.74,ALAHENS,20200131
0100047330,20200115,01,0068100101,1474.65,ALAHENS,20200131
0100047330,20200115,01,0068100101,491.55,ALAHENS,20200131
0100047330,20200115,01,0038900200,-1966.2,ALAHENS,20200131
0100047331,20200115,01,0062710101,2856,ALAHENS,20200131
0100047331,20200115,01,0062710101,1173,ALAHENS,20200131
0100047331,20200115,01,0062710101,11234,ALAHENS,20200131
0100047331,20200115,01,0062710101,755,ALAHENS,20200131
0100047331,20200115,01,0062710101,1132,ALAHENS,20200131
0100047331,20200115,01,0046940800,-19945,ALAHENS,20200131
0100047331,20200115,01,0062710101,2795,ALAHENS,20200131
0100047332,20200115,01,0062740101,194,ALAHENS,20200131
0100047332,20200115,01,0062740101,48,ALAHENS,20200131
0100047332,20200115,01,0062740101,318,ALAHENS,20200131
0100047332,20200115,01,0062740101,56,ALAHENS,20200131
0100047332,20200115,01,0062740101,67,ALAHENS,20200131
0100047332,20200115,01,0046940800,-683,ALAHENS,20200131
0100047333,20200115,01,0062710101,435,ALAHENS,20200131
0100047333,20200115,01,0046940800,-435,ALAHENS,20200131
0100047334,20200115,01,0063600102,5000,ALAHENS,20200131
0100047334,20200115,01,0042400100,-5000,ALAHENS,20200131
0100047335,20200115,01,0063500103,13000,ALAHENS,20200131
0100047335,20200115,01,0063200103,8000,ALAHENS,20200131
0100047335,20200115,01,0046900100,-21000,ALAHENS,20200131
0100047336,20200115,01,0063100101,775,ALAHENS,20200131
0100047336,20200115,01,0046940100,-775,ALAHENS,20200131
0100047337,20200115,01,0062500101,81.6,ALAHENS,20200131
0100047337,20200115,01,0062500101,1194.42,ALAHENS,20200131
0100047337,20200115,01,0062500101,1682.88,ALAHENS,20200131
0100047337,20200115,01,0062500101,183.6,ALAHENS,20200131
0100047337,20200115,01,0062500101,250.1,ALAHENS,20200131
0100047337,20200115,01,0041500100,-4188.2,ALAHENS,20200131
0100047337,20200115,01,0062500101,795.6,ALAHENS,20200131
0100047338,20200115,01,0062600101,800,ALAHENS,20200131
0100047338,20200115,01,0062600101,165,ALAHENS,20200131
0100047338,20200115,01,0062600101,3378,ALAHENS,20200131
0100047338,20200115,01,0062600101,366,ALAHENS,20200131
0100047338,20200115,01,0062600101,521,ALAHENS,20200131
0100047338,20200115,01,0041200100,-6485,ALAHENS,20200131
0100047338,20200115,01,0062600101,1255,ALAHENS,20200131
0100047339,20200115,01,0062600102,698.7,ALAHENS,20200131
0100047339,20200115,01,0062600102,137.7,ALAHENS,20200131
0100047339,20200115,01,0062600102,3168.12,ALAHENS,20200131
0100047339,20200115,01,0062600102,306,ALAHENS,20200131
0100047339,20200115,01,0062600102,331.5,ALAHENS,20200131
0100047339,20200115,01,0041200200,-5718.12,ALAHENS,20200131
0100047339,20200115,01,0062600102,1076.1,ALAHENS,20200131
0100047340,20200115,01,0063600101,40080,ALAHENS,20200131
0100047340,20200115,01,0046940100,-40080,ALAHENS,20200131
0100047341,20200131,01,0063000100,1500,ALAHENS,20200131
0100047341,20200131,01,0046940100,-1500,ALAHENS,20200131
0100047342,20200131,01,0010401072,42143,JROMAN,20200201
0100047342,20200131,01,0012101300,-42143,JROMAN,20200201
0100047343,20200131,01,0046100400,-100000,JROMAN,20200201
0100047343,20200131,01,0010401076,100000,JROMAN,20200201
0100047344,20200131,01,0010401086,27758.2,JROMAN,20200201
0100047344,20200131,01,0010401076,-27758.2,JROMAN,20200201
0100047345,20200131,01,0010401070,100000,JROMAN,20200201
0100047345,20200131,01,0010401076,-100000,JROMAN,20200201
0100047346,20200131,01,0010401070,42143,JROMAN,20200201
0100047346,20200131,01,0010401072,-42143,JROMAN,20200201
0100047347,20200131,01,0010401080,27758.2,JROMAN,20200201
0100047347,20200131,01,0010401086,-27758.2,JROMAN,20200201
0100047348,20200131,01,0010401070,-27758.2,JROMAN,20200201
0100047348,20200131,01,0010401076,27758.2,JROMAN,20200201
0100047349,20200131,01,0010401080,-5650,JROMAN,20200201
